MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
-17.0806580397,-0.0281340722347,0.0281340722347,51,0,-1.36968282598,-25.2123775117,2.92091028013,-2.1999811087e-16,2.08917351395,8.07823585523,0.00643381790817,2.64305810571e-09,-21.6745550045
-14.7800222216,-0.020837273091,0.020837273091,52,1,-1.37775490248,-30.8625114689,3.50985265298,1.44741725165e-16,2.08676337517,8.05878962922,0.00705109923575,-0.763280817147,-21.374210928
-15.1954849619,-0.0253643801415,0.0253643801415,57,2,-1.37425675646,-29.3570300357,3.06319814583,-1.63343157646e-17,2.08494496718,8.04414877733,0.00781929432801,0.535478044925,-20.4431597545
-16.6307153908,-0.025564443975,0.025564443975,53,3,-1.3710634173,-25.0004490557,2.01079507552,-2.27711636605e-17,2.08940583964,8.08011285503,0.00776279885517,0.481490653529,-20.4213381273
-16.7487120908,-0.0219221128657,0.0219221128657,49,4,-1.37017402048,-30.4278653082,2.93543799317,1.00564053089e-16,2.08856635949,8.07333260702,0.00702432430279,-0.057260027544,-21.856256307
-15.9489214062,-0.0235864688145,0.0235864688145,47,5,-1.36212909734,-28.4666424156,2.74390543954,-1.68602668259e-17,2.10071405115,8.17200305794,0.00879471623696,0.145548436083,-20.5210752275
-15.4071997293,-0.022511995673,0.022511995673,47,6,-1.36887765356,-29.9477826568,2.92194423868,1.32567109942e-16,2.11644207319,8.30154857905,0.00822512631908,0.402899621009,-20.4710855305
-14.6314326671,-0.0213998793024,0.0213998793024,45,7,-1.38843948299,-29.5649145063,3.49935968589,6.16790569236e-18,2.12138395025,8.34267534959,0.0070986703522,0.386844036923,-20.8324222094
-15.6772443534,-0.0258264320189,0.0258264320189,39,8,-1.36616827006,-30.368670247,2.96649755764,2.11116235108e-19,2.12159693053,8.34445236413,0.00938148944373,0.238372151409,-21.3604898405
-17.0451565391,-0.0222183288865,0.0222183288865,37,9,-1.35915432776,-30.4891819288,3.40737777949,8.79514247276e-17,2.12268588573,8.35354404828,0.00901125232854,0.122919402516,-21.5713743986
-17.7423715016,-0.022917117402,0.022917117402,35,10,-1.35907844834,-30.0812910014,3.32308028069,8.11935679102e-18,2.12135127976,8.34240279475,0.00744432963803,0.0137394662672,-21.2575047273
-17.0957506424,-0.022854077813,0.022854077813,35,11,-1.36362158645,-31.5109906065,4.42222544071,-1.35599758733e-17,2.11969241104,8.32857531583,0.00766736566252,0.251234950608,-23.0835469432
-17.9133746861,-0.0209269048135,0.0209269048135,31,12,-1.36301743077,-28.0174891654,2.30324042591,-1.09116770623e-16,2.12463335348,8.36982815712,0.00689176966666,-0.378339068374,-20.3676638175
83.4717945035,-0.0224626735709,0.0224626735709,32,13,-1.36111097663,-31.0059203486,18.9097067971,-1.71094989695e-16,2.11200524165,8.26479759575,0.00874287037463,0.00916133548423,-19.2805317407
-16.9912630229,-0.0220404779341,0.0220404779341,32,14,-1.35376366758,-28.5848155827,3.1707192452,3.04747672459e-18,2.11476931328,8.28767368933,0.00683856540328,-0.996184603723,-20.8679212684
-17.1691462197,-0.0243541412333,0.0243541412333,36,15,-1.35662896908,-29.2360197079,2.8569066548,-1.7028257284e-17,2.09839893797,8.15310582895,0.00914454858361,0.190623168438,-20.1504524629
-16.8865344976,-0.0239566651536,0.0239566651536,33,16,-1.35656420482,-31.1106752444,3.73391123577,-2.62262361397e-16,2.11335533477,8.27596337783,0.00975463853318,0.18939847742,-20.3688856803
84.5465840656,-0.03484801332,0.03484801332,33,17,-1.35635690944,-28.855909267,18.3297629011,-7.70348838878e-17,2.10279915147,8.18906028091,0.0075626894547,0.0266473162765,-17.557904507
-17.249480622,-0.0185278010128,0.0185278010128,31,18,-1.35697365745,-28.6534895645,2.62935609745,-1.23195689997e-16,2.10688899388,8.22262082891,0.00693185187198,-0.799311363758,-19.870158606
88.3764355726,-0.029698043717,0.029698043717,31,19,-1.3504803835,-30.1691339223,25.9725523284,-2.59559241364e-18,2.11742156669,8.3096838755,0.00706194439763,0.00792955893482,-13.2933667446
-16.3030504468,-0.0201044803515,0.0201044803515,32,20,-1.35178233303,-27.3656237983,3.13980180368,-7.43303905201e-17,2.09486795246,8.12436809659,0.0076993843379,-1.48862097616,-20.1344861727
87.829488948,-0.0254907389053,0.0254907389053,32,21,-1.35677191059,-29.775797855,25.6930529515,1.01471996874e-16,2.09489641814,8.12459936551,0.00920796410966,0.0185161828755,-14.3969937952
-16.4104770166,-0.0216671793059,0.0216671793059,32,22,-1.36277683842,-29.980810183,3.01150641006,8.49848998215e-19,2.08971917871,8.08264506679,0.00728422366509,-1.21682019027,-20.2455983654
-16.7858263294,-0.0297476994203,0.0297476994203,31,23,-1.35506823158,-29.4676339549,3.14008968181,-1.11547053386e-16,2.08093595983,8.01196428281,0.00897985153172,-0.0225096734409,-20.889254015
87.9215722092,-0.0300899753305,0.0300899753305,32,24,-1.35413002729,-28.9282482825,18.828281317,1.07238274215e-16,2.08097362507,8.01226606101,0.0097828486167,-0.00451851045524,-16.1965550893
