MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
-788.612905603,-0.00726260420958,0.00726260420958,15,0,-982.273742958,-1571.90755995,196.912640678,1.53297119027e-16,1.62837447941,5.09558500448,0.00099305244794,1.30784272301e-13,-1110.4720357
-683.119592372,-0.00727410883699,0.00727410883699,15,1,-888.512219588,-1347.98063605,195.918732446,-9.84712227456e-17,1.63027972364,5.10530259267,0.000657428289615,0.868644997511,-999.543715945
-590.085835366,-0.00592592747809,0.00592592747809,16,2,-798.411459966,-1170.96850709,186.989616128,-1.75392089696e-17,1.63184516907,5.11330092408,0.000727168000349,0.870071382053,-880.610880427
-805.600498424,-0.00581172284766,0.00581172284766,15,3,-888.381036518,-1273.05631104,149.085458831,1.00364832763e-16,1.62702050038,5.08869035786,0.000709656007712,0.840429472172,-1003.11599381
-595.525712461,-0.00696339228787,0.00696339228787,15,4,-841.482095281,-1293.74995918,184.488460991,-7.66271577781e-17,1.62826266074,5.09501525477,0.000730269421862,0.886376030344,-939.711335068
-697.509951611,-0.00718804794719,0.00718804794719,16,5,-813.840858879,-1151.93059274,124.17286474,3.35414811065e-17,1.6284456967,5.09594791117,0.000883953128528,0.924583901368,-898.165115597
-689.06018348,-0.00948717227466,0.00948717227466,16,6,-785.728414412,-1091.60480927,112.769352093,-6.75787928033e-17,1.631579503,5.11194267397,0.000967421572712,0.946443288085,-867.462141419
-640.986689406,-0.00639476515949,0.00639476515949,16,7,-754.256940442,-1236.26709197,155.482710262,8.85350407066e-17,1.62511344144,5.07899517302,0.000738483129458,0.879500617016,-827.203229969
-679.370631184,-0.00744838593152,0.00744838593152,16,8,-795.728628382,-1214.78223341,145.741020295,-6.04169934181e-17,1.623274896,5.06966578851,0.000853958516175,0.916576927978,-874.945582875
-570.677573228,-0.00945267101044,0.00945267101044,16,9,-749.824072418,-1042.96997661,143.056878095,-1.77493688989e-17,1.61872669798,5.04666030101,0.000908185189813,0.925175691433,-824.896976446
-644.643364108,-0.00767167581709,0.00767167581709,17,10,-711.143039083,-1088.86641086,111.087800088,-1.68212306264e-17,1.61077870487,5.00670845849,0.00080204348353,0.934234958802,-775.7223517
-568.456766483,-0.0109435450347,0.0109435450347,18,11,-679.306890691,-1096.30198773,143.740144301,-1.2836676831e-17,1.61205653905,5.01311029106,0.000647195936137,0.920815604706,-737.631830923
-572.569238763,-0.00719361422976,0.00719361422976,18,12,-662.520566221,-887.710273939,80.483644361,-3.54703841733e-18,1.60850476243,4.99533642621,0.000816098284055,0.946496858227,-718.39111387
-552.427127809,-0.00903249378256,0.00903249378256,18,13,-691.192967153,-919.209164354,104.616920477,1.30605278983e-16,1.59566823446,4.931623452,0.000912256772692,0.932832257412,-751.01160453
-530.267049463,-0.00898158625278,0.00898158625278,19,14,-623.263015066,-836.623871256,86.0711306905,1.09588600413e-16,1.59633803899,4.93492778224,0.000777850182373,0.93734728959,-673.249406919
-566.429729132,-0.0100875845153,0.0100875845153,18,15,-666.09932197,-907.979446821,93.5423268655,1.20039512415e-16,1.57973564471,4.85367254759,0.000730327649158,0.94161425409,-722.450685521
-540.93227601,-0.00971443217828,0.00971443217828,19,16,-598.634751016,-877.925540212,87.6144007266,1.32969639343e-16,1.57032057921,4.8081893523,0.000891284152737,0.932268445236,-643.511257556
-510.65550387,-0.00873197196629,0.00873197196629,20,17,-594.58087754,-750.337141564,68.2990783356,1.71020091907e-16,1.56206519124,4.76865927631,0.000841309555082,0.95334114571,-640.102298105
-522.111975743,-0.00784906373077,0.00784906373077,20,18,-573.69453858,-728.067726873,55.1950633962,-2.11208681277e-17,1.5482167735,4.70307605066,0.000623694816306,0.969772312445,-613.833957975
-529.117997534,-0.00570471829119,0.00570471829119,20,19,-600.697921043,-853.809139639,78.5019648072,1.45650687278e-16,1.54249912201,4.67626222995,0.000799947668632,0.932327102831,-646.879641228
-519.503143436,-0.00836216925816,0.00836216925816,21,20,-571.356527749,-724.72031423,53.2797999873,3.12221528844e-18,1.52849390942,4.61122666479,0.000814394835171,0.959625278496,-610.654887626
-505.987448718,-0.00824608181223,0.00824608181223,20,21,-576.815374823,-722.213313738,57.6937554988,-1.92112121418e-16,1.52980425503,4.61727292588,0.000856903088145,0.960347162862,-618.428368962
-547.045931412,-0.00754702397057,0.00754702397057,20,22,-580.634018082,-763.725641121,54.6253782032,3.79555829876e-17,1.52281058128,4.58509388145,0.000811336373964,0.970846831805,-623.466177575
-479.812455411,-0.00823272644393,0.00823272644393,21,23,-552.097103519,-703.837381617,58.9952141525,-1.43491956787e-17,1.50240676919,4.49248845211,0.000711752938813,0.960420004327,-589.668641303
-503.646611384,-0.00937467026281,0.00937467026281,21,24,-542.304687105,-693.131116683,55.1441080998,-9.05215568982e-17,1.48931607551,4.43406191819,0.000774400845975,0.965019396442,-579.45844037
-513.430873495,-0.00687532539907,0.00687532539907,21,25,-558.266796859,-669.552105585,40.5054526622,-1.04805053525e-17,1.46963625572,4.34765341936,0.000748693656477,0.967838436336,-598.045177354
-489.517162102,-0.00676132523523,0.00676132523523,21,26,-547.580092365,-754.239037728,57.6805900059,-3.13595879637e-17,1.46954359079,4.34725056303,0.000759214471934,0.95851354583,-585.116396136
-499.247888659,-0.00954266829263,0.00954266829263,21,27,-544.475630314,-694.345202598,57.4703855441,-2.34818744633e-18,1.45017145689,4.26384551818,0.000741243460403,0.963233152286,-581.10239049
-477.572611611,-0.00675223501807,0.00675223501807,20,28,-537.253295112,-661.599683995,45.1292385743,-1.91582920557e-17,1.44182602538,4.22840995564,0.000796663894097,0.966943822797,-574.22750036
-476.836787448,-0.00861698282745,0.00861698282745,22,29,-506.471276621,-618.441028856,31.9985191957,-4.19335485175e-17,1.43726417944,4.20916453157,0.000981445852464,0.969815464569,-538.479840948
-474.55667451,-0.00765601446921,0.00765601446921,23,30,-519.992712989,-645.084982789,37.5790714861,-1.32201802156e-16,1.40985047974,4.09534302152,0.000772138571562,0.970461466837,-553.543963777
-494.791420564,-0.00630544026608,0.00630544026608,22,31,-512.815989448,-602.485842198,29.3375157467,6.34144337794e-17,1.41600973382,4.12064512077,0.000778888910983,0.979227365131,-546.156643481
-487.429519387,-0.0056380157919,0.0056380157919,22,32,-524.871733509,-672.959804566,45.6211039422,6.32455501267e-17,1.39000332058,4.01486338465,0.000621625087366,0.96932024747,-559.106473408
-492.749809158,-0.00625681949428,0.00625681949428,23,33,-518.897899744,-623.109170835,37.8802864687,-8.9668304237e-18,1.37168781694,3.94199845556,0.000722415347357,0.971564810802,-552.202859877
-458.980190025,-0.00841684858687,0.00841684858687,22,34,-515.392210925,-670.989057419,53.0130268418,-2.61174659991e-16,1.36245078781,3.90575375538,0.000656647931362,0.964701727782,-548.345237146
-453.321603323,-0.00590010213889,0.00590010213889,23,35,-502.491501521,-594.643867274,32.1999630717,4.09078804183e-17,1.35413554648,3.87341112509,0.000678777001971,0.978535229462,-533.593808101
-474.340600969,-0.0116212423614,0.0116212423614,22,36,-518.707400267,-709.157388228,57.4294674246,-8.41222069172e-17,1.35667004536,3.88324073252,0.000848744079125,0.950117281837,-552.024379245
-464.544931045,-0.00747865803993,0.00747865803993,23,37,-505.81564687,-651.223117257,47.0807285119,3.40051754231e-17,1.33732801686,3.80885270638,0.000666458703849,0.963303910245,-537.475010469
-420.657285453,-0.00695482432565,0.00695482432565,23,38,-509.46928625,-635.215420179,50.723308678,-3.15917120828e-17,1.33062629774,3.78341218822,0.000649099803539,0.962458427063,-542.239692679
-422.290939324,-0.00708222156539,0.00708222156539,23,39,-496.344711352,-643.122063854,43.2201958943,7.92612532861e-17,1.30697064278,3.69496337676,0.000803972762486,0.969663187316,-526.735692699
-467.980344735,-0.0071499693667,0.0071499693667,23,40,-501.40033065,-647.49186511,40.1271913419,3.71662643437e-17,1.29530249872,3.6521005628,0.000890254801109,0.967918960308,-531.959096768
