MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
447.0,-0.00120203011554,0.00120203011554,58,0,-10.61563568,-287.0,268.435879943,1.93082265152e-17,0.674402710484,1.96286022993,9.88570578773e-05,1.84174897555e-12,0.379310344828
453.0,-0.00240612310802,0.00240612310802,64,1,-11.8937676866,-268.0,245.647961315,5.4484117906e-17,0.661668374565,1.93802298694,9.01315828676e-05,-6.76351643975,-32.21875
443.0,-0.00118324698156,0.00118324698156,60,2,-11.5849342557,-283.0,245.637204814,8.08198278385e-18,0.66585519233,1.94615414597,8.34779793162e-05,0.0542218739136,-26.2166666667
450.0,-0.00103944947414,0.00103944947414,63,3,-10.6527072205,-294.0,279.87974778,4.18200601204e-17,0.665922101865,1.9462843666,6.77271002575e-05,0.383720613678,39.7301587302
452.0,-0.00101863663306,0.00101863663306,53,4,-10.437390289,-265.0,271.011031134,2.86792543015e-17,0.663655217527,1.94187736202,6.5426700155e-05,-0.174307592398,6.66037735849
450.0,-0.00149135493944,0.00149135493944,62,5,-10.9588265211,-288.0,266.02020111,-4.47934587984e-17,0.666094770004,1.94662045692,9.86445435517e-05,0.368194047047,6.27419354839
451.0,-0.0010009473617,0.0010009473617,62,6,-11.5024694269,-288.0,239.729894833,-5.38630641176e-17,0.664271262218,1.94307401382,7.15506612204e-05,0.343658365185,-51.3548387097
450.0,-0.00108303425641,0.00108303425641,58,7,-10.5434131154,-290.0,300.410884398,6.9848638751e-17,0.665079963902,1.9446460166,8.2333269297e-05,-0.239346052235,67.9137931034
450.0,-0.00121948358935,0.00121948358935,69,8,-11.3963164144,-267.0,277.399239661,-6.95856727263e-17,0.664617896414,1.94374766647,9.78877306769e-05,0.337259558919,47.3333333333
455.0,-0.00116965439235,0.00116965439235,68,9,-11.2308970169,-266.0,289.017047605,-4.33005107808e-17,0.6659725432,1.94638254226,7.9207565908e-05,0.269017012013,89.3823529412
453.0,-0.000639803246646,0.000639803246646,73,10,-11.7345090254,-243.0,255.708613665,4.90908223522e-17,0.663125258953,1.94084852011,6.95140077011e-05,0.27851916856,5.15068493151
447.0,-0.0018022562589,0.0018022562589,64,11,-11.8593336679,-272.0,249.450816717,2.64927871243e-17,0.662220026548,1.93909239611,7.9955990212e-05,-0.437626715273,-22.59375
452.0,-0.0010285536842,0.0010285536842,68,12,-11.1661173762,-299.0,272.385880917,-6.98484684367e-17,0.662159151362,1.93897435709,7.16457851112e-05,0.275092127404,13.0735294118
451.0,-0.00154733924604,0.00154733924604,62,13,-10.9144630763,-271.0,290.246375751,-1.21358329695e-17,0.663595203859,1.94176082634,9.59548532072e-05,0.334045280287,55.5322580645
