MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
93.1450150767,-0.00171845560547,0.00171845560547,35,0,-1.28668043969,-24.112044068,48.8868830484,-4.00851315179e-17,0.541435587708,1.71847210966,0.00566184480487,8.48556780397e-11,12.0069472735
94.1153055421,-0.000183263593056,0.000183263593056,40,1,-1.2293604342,-27.9930515984,54.9697904747,-8.15427780509e-17,0.526216571279,1.69251666355,0.0041274919289,-0.121804997583,40.5328387366
93.6889495768,-0.00407246570272,0.00407246570272,40,2,-1.27415502617,-25.1395416162,52.4587895469,6.58292090809e-17,0.549631937454,1.73261518974,0.0075202459964,0.230542409397,51.3650633588
94.4193001535,-0.00849149744399,0.00849149744399,44,3,-1.19466417286,-23.8270514487,55.7023525489,-1.91736290288e-17,0.566408717865,1.76192809487,0.00629174128825,-0.149797251373,36.2367379305
94.4352435847,-0.00625885059062,0.00625885059062,48,4,-1.17772090936,-24.9968172362,51.8032431395,5.25088219932e-18,0.553258463046,1.73890997026,0.00997340078151,0.163537222563,57.1881906518
94.6499466574,-0.0121268947632,0.0121268947632,48,5,-1.16882949293,-26.0068047123,47.4464262392,-3.05840870441e-17,0.545891882224,1.72614721606,0.006718280353,0.226625115925,65.6731319537
94.5885090725,-0.0151836911579,0.0151836911579,50,6,-1.12768556196,-24.8648192784,50.1881382157,-1.9686947965e-17,0.553807444193,1.73986486113,0.00723167584477,-0.0783191387474,61.1183061537
94.4148072025,-0.0068092659142,0.0068092659142,57,7,-1.05351739007,-25.8541934524,43.5166563461,2.43104131734e-16,0.522747585422,1.68665551917,0.00727926303146,0.296318915004,72.8494612976
94.470395426,-0.00753887896913,0.00753887896913,52,8,-1.07711126632,-22.9486132509,37.7904453264,1.089515852e-16,0.483419345629,1.62160977742,0.00712945019411,0.264182175514,77.3020430882
94.6632284135,-0.010134020785,0.010134020785,59,9,-1.01831717668,-22.1099885841,36.2344475649,2.65375438192e-17,0.490778034819,1.63358671299,0.0099550078613,0.270951637905,79.4329328225
94.5540333596,-0.00859175381829,0.00859175381829,58,10,-1.00291430889,-24.9950655768,42.3734072178,-4.46831128136e-18,0.446349176428,1.56259699332,0.00779980117146,0.359080492478,73.8112047087
94.4976003508,-0.00840015375786,0.00840015375786,58,11,-1.0491403665,-23.3604886799,42.3612609613,-2.63848346563e-16,0.464003922912,1.59042920954,0.00772569267639,0.218579748632,73.7918115129
94.5279286399,-0.0295919618124,0.0295919618124,60,12,-0.960537965097,-20.669211651,37.9350465948,-1.40205155944e-17,0.463028898697,1.58887925829,0.00711258323529,0.319077068276,78.4079944949
94.4733336345,-0.00560138727842,0.00560138727842,56,13,-1.03302684379,-25.9632316887,44.826364484,-9.70855130954e-17,0.414343426689,1.51337677162,0.0085684009938,0.0917869015475,70.4557942281
94.5663136743,-0.00626890735674,0.00626890735674,59,14,-1.00040346712,-25.542413729,46.8812189561,-6.28189162918e-18,0.429919721748,1.53713412015,0.00760410799834,0.248998393996,68.4910840148
94.5801863419,-0.00945541390484,0.00945541390484,56,15,-0.995042336571,-24.4995929402,44.9342658502,2.74425668227e-17,0.394630858395,1.48383634408,0.00661214747234,0.155823300854,70.6777402579
94.406142675,-0.0139474403316,0.0139474403316,54,16,-1.02874199311,-27.1151592861,48.9874590681,2.80768779157e-17,0.385166374153,1.46985884762,0.00943499025503,0.157424113644,64.0558371377
94.6136781031,-0.0365522233005,0.0365522233005,50,17,-1.05570910314,-24.6476438933,50.2915289532,-7.72799888566e-17,0.348048198113,1.41630051111,0.00876486790348,0.124325293491,60.7064083529
94.4664234668,-0.0129702467694,0.0129702467694,51,18,-1.07372510395,-21.4920556265,48.1713105349,-6.86741202703e-17,0.364618171827,1.43996408431,0.00998632625856,-0.184991273853,64.4250446191
94.4851583468,-0.00817076276868,0.00817076276868,46,19,-1.12181575688,-26.1262108566,52.2979746553,3.92448537312e-17,0.364341495286,1.43956573514,0.00674604108548,0.115670394901,55.5072708361
94.6224722834,-0.0127437705877,0.0127437705877,56,20,-1.02829522918,-23.0375598005,46.2151727327,-5.73149460768e-17,0.391499667999,1.47919743641,0.00930303071674,0.21745752817,68.7978104661
94.3051166392,-0.0132376760679,0.0132376760679,50,21,-1.0485193756,-21.5388505442,51.6537790076,5.06306321118e-17,0.365361700899,1.4410351376,0.00897276037062,0.119198984407,57.4867074369
94.6179034046,-0.00774673447589,0.00774673447589,56,22,-0.98713221012,-25.3941401119,36.8826250119,8.62513387203e-17,0.416191688996,1.51617647536,0.00880589221248,0.218922839658,78.8178972111
94.5369254667,-0.0061083975129,0.0061083975129,58,23,-0.961338331997,-26.9310368923,47.3702092652,-2.15082981841e-17,0.412710269086,1.51090720599,0.00697623227499,0.189560447007,68.1216251737
94.5225636265,-0.0124731176992,0.0124731176992,55,24,-1.010163916,-26.5212869323,48.8017754797,-7.18849440405e-18,0.387746779272,1.47365657665,0.00927390952765,0.254672353895,65.6405454569
94.4388656542,-0.00394688360174,0.00394688360174,58,25,-1.02332532772,-26.4832940711,45.4534512507,1.98046610081e-17,0.386805847237,1.47227061811,0.00692440307698,0.267545007941,70.1344707549
94.6132010536,-0.00887614931548,0.00887614931548,57,26,-1.02139951004,-25.9540639796,42.990237671,4.9607820582e-18,0.403536728648,1.497110218,0.00870795539694,0.263418454819,72.8520133187
94.6213147147,-0.00669764108844,0.00669764108844,59,27,-0.960587680685,-25.3491219448,38.240592102,-1.14377372042e-18,0.404401044801,1.49840475391,0.00991362951327,-0.00287206321554,77.8830022984
94.708996811,-0.00928205828598,0.00928205828598,68,28,-0.911929223746,-25.7394977858,34.2819259379,-1.09320613665e-17,0.415305554339,1.51483353394,0.0098541191706,0.407967090497,82.1183517942
94.6336541725,-0.0091745947943,0.0091745947943,61,29,-0.999697048576,-24.2791067389,41.4601904937,-1.43065627408e-16,0.40361263078,1.49722385617,0.00636300641355,-0.0391915838707,74.803906288
94.6106359254,-0.00932669217737,0.00932669217737,58,30,-0.961165230578,-24.9256624892,42.7162023054,1.84834185422e-17,0.381481446432,1.46445249114,0.00851335668198,0.32254726988,73.5616443621
94.6572729538,-0.008648922232,0.008648922232,62,31,-0.96933261349,-22.6499895304,47.3885944178,4.20500175609e-17,0.398699925801,1.48988647503,0.00953825843571,0.348646955938,67.8357459685
94.5893999107,-0.00789645809606,0.00789645809606,64,32,-0.903983732681,-25.0312444654,34.8256975383,3.7172297284e-17,0.407444693027,1.50297231839,0.00743008328549,0.422901199936,81.458485089
94.5313566651,-0.0148294221507,0.0148294221507,57,33,-0.988899201002,-24.4333521838,41.1805427715,-1.34413381085e-17,0.380456958311,1.46295294522,0.00690958734764,0.192764929989,75.0689773487
94.8619192167,-0.00937458292386,0.00937458292386,56,34,-0.972320119924,-25.269121175,47.5363962543,3.29830255349e-17,0.368566040177,1.44566010913,0.00818799996837,0.15839305039,67.0808106183
94.6509522796,-0.00983525875441,0.00983525875441,51,35,-1.00778690057,-26.9168873736,52.4836253145,4.82484846017e-17,0.33179393684,1.39346567699,0.00960617272663,0.190152041576,57.516227773
94.5539610322,-0.00791954498407,0.00791954498407,60,36,-0.951938754919,-23.7224248063,45.3360930111,-7.03149734927e-17,0.365507973428,1.44124593687,0.00833746088132,0.342210211565,70.7940146837
94.6047027619,-0.00889777697972,0.00889777697972,55,37,-0.959501224774,-24.3271930927,44.97582045,1.20774788624e-16,0.359153834196,1.43211709321,0.0071203318321,0.00998308875615,70.611985609
94.6285860321,-0.0110575514183,0.0110575514183,53,38,-0.942883879955,-25.3414669143,48.9283722473,-1.32954809935e-16,0.347991540563,1.41622026926,0.00690258559286,0.213070830879,63.9387864556
94.5489987903,-0.00792406674647,0.00792406674647,63,39,-0.88782500939,-26.4347804956,43.6806122712,-8.25970561305e-17,0.392236438557,1.48028766711,0.00978845902855,0.375844676307,73.7873307558
94.5347823416,-0.0098737924586,0.0098737924586,57,40,-0.950830607085,-27.0622478835,47.28772238,4.78701449998e-17,0.36662388483,1.44285513734,0.0068567235659,0.275863981526,67.6765153547
94.7262284252,-0.00599061468349,0.00599061468349,57,41,-0.9714649978,-24.6128044343,50.0504270249,-8.71756951543e-18,0.35842207642,1.43106951372,0.00703040333485,0.19901684708,63.6148751058
94.6480038183,-0.00844165693434,0.00844165693434,55,42,-0.969241527818,-27.8203384043,52.8530967073,-3.6467179641e-18,0.353178827273,1.42358569662,0.00935068310076,0.254084707926,58.4256563518
94.5102874226,-0.0115660443215,0.0115660443215,55,43,-1.00665992784,-24.910472838,47.6836716896,-7.97083197167e-17,0.349624468497,1.41853474407,0.00728019634775,0.227008675928,66.76248439
94.5095340402,-0.00772194152533,0.00772194152533,57,44,-0.993748993029,-25.8661670755,45.1267102632,8.65279911503e-17,0.381727178152,1.46481239779,0.00849234260259,0.234767871964,70.880228322
94.7531054921,-0.00687376853199,0.00687376853199,60,45,-0.960634190616,-21.7369289703,43.4699573388,3.64598301166e-17,0.375418470997,1.45560041374,0.00667947782825,0.347357798879,72.93665746
94.5397285314,-0.00463248097911,0.00463248097911,57,46,-0.952474246752,-26.7952310148,44.818143738,-2.32276807114e-17,0.358016777158,1.43048961983,0.00820568468416,0.0849778740491,71.5006017069
94.6564454209,-0.00902689315116,0.00902689315116,56,47,-0.947384147293,-26.1336298054,43.0019289749,-7.17614882428e-18,0.328344914191,1.38866786095,0.00712901282271,0.226512489887,73.1408207508
94.6254870072,-0.00775410352615,0.00775410352615,60,48,-0.947328139798,-26.3738602992,45.5188459071,2.04472641126e-17,0.34715143295,1.41503099146,0.00640958381929,0.250956481254,70.767376965
94.596624604,-0.00798491553121,0.00798491553121,56,49,-0.983022132555,-25.7565804029,44.9412271207,-3.99226622249e-17,0.32269241772,1.38084056349,0.0091448853802,0.191126020875,70.5555165249
94.619449837,-0.0102477513907,0.0102477513907,53,50,-1.02256519835,-26.0689297347,52.0912938101,3.24596955578e-18,0.339275889989,1.40393062219,0.00671036497479,0.0418682331817,58.7330188858
94.6374181309,-0.00839682936892,0.00839682936892,59,51,-0.916897698035,-25.1429186157,40.3949532829,8.3844276495e-18,0.343713807698,1.41017499652,0.00876546664859,0.206308764271,76.2664973164
94.5275581698,-0.00980294622251,0.00980294622251,56,52,-0.940267923268,-27.4162756039,46.0839114843,7.90231326355e-18,0.326236744146,1.38574339668,0.00786959848914,0.270679320205,69.4731154352
94.6278874599,-0.0112669140673,0.0112669140673,63,53,-0.911080589044,-23.5991052615,37.9285186613,6.20473340727e-17,0.362334604386,1.43667958083,0.00808423451639,0.309149864926,79.0431294482
94.7405246288,-0.0108580051442,0.0108580051442,61,54,-0.893146169263,-24.9753217882,43.6221226681,-6.82404097659e-17,0.347673586285,1.41577004755,0.00748914127322,0.311855496162,73.2382059738
94.8529896632,-0.00704185026331,0.00704185026331,60,55,-0.941848065519,-25.1338349101,47.1113669231,-5.32456511695e-18,0.336453872211,1.39997429006,0.00952562661705,0.269610949288,68.8705855795
94.6106924473,-0.00925393498882,0.00925393498882,59,56,-0.894065528042,-25.3305740678,42.6161305084,3.35679824208e-17,0.338717911327,1.40314747737,0.00856700661738,0.244459901666,74.4568473805
94.7782118909,-0.0120914637047,0.0120914637047,65,57,-0.884074233987,-24.1027534233,41.1176255773,1.11656715619e-17,0.348498228754,1.41693803318,0.00724913916427,0.31522006459,76.1474468488
94.8878205298,-0.00754691955625,0.00754691955625,66,58,-0.855433234995,-23.9167313443,41.2476974347,1.50502787109e-17,0.370668768914,1.44870313839,0.00962851618932,0.38091449303,76.5041378353
94.6222050909,-0.00642063070558,0.00642063070558,60,59,-0.906686308972,-27.5674067732,45.7649612817,9.5739776622e-17,0.345014838324,1.41201087139,0.00655830402729,-0.762574996893,70.9041972718
94.6213728208,-0.00715662446147,0.00715662446147,59,60,-0.889429534635,-23.5717938613,42.1208859588,4.92248596331e-17,0.339373841824,1.40406814651,0.00887160909368,0.0397595411001,74.6387172445
94.6010508595,-0.0106962833554,0.0106962833554,65,61,-0.884044906402,-24.2227573606,36.8803531719,1.24369956825e-16,0.358647193369,1.43139170799,0.00971251955097,0.278614638961,79.9178018589
94.5228844905,-0.00854156690207,0.00854156690207,62,62,-0.92260355376,-23.7737067122,37.5565692707,1.3739075983e-17,0.332548605683,1.39451767902,0.00695058697102,0.236518872206,79.0596028207
94.6461571473,-0.00709482941101,0.00709482941101,70,63,-0.852239231623,-21.4929396475,18.9116362961,2.53825697461e-18,0.350347645089,1.41956096622,0.0067016826326,0.39091331038,90.2673858604
94.6189419471,-0.0108622173576,0.0108622173576,65,64,-0.85311041562,-23.8679288245,32.6519936309,4.43457952977e-16,0.329562298819,1.39035943329,0.00806523725502,0.134545558855,83.1885511032
94.5473542688,-0.0173866664569,0.0173866664569,58,65,-0.964167532592,-24.0200849886,44.2134625243,6.14133451294e-17,0.281877794766,1.32561671279,0.00853497057308,0.234795902221,71.8254411709
94.6096159068,-0.0154745210489,0.0154745210489,70,66,-0.820359766978,-26.2311059033,34.3210131757,-4.39209108643e-17,0.339391625992,1.40409311691,0.00821951464113,0.289013795195,82.6377256667
