MaxReturn,LossAfter,dLoss,NumTrajs,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,Entropy,Perplexity,MeanKL,ExplainedVariance,AverageReturn
-15.2857233316,-0.0308600161265,0.0308600161265,46,0,-1.41670480508,-22.5777924269,2.16132324125,1.14521572741e-17,2.11758831843,8.31106964529,0.00712730317858,3.63773711154e-09,-19.1903047694
-16.6776175063,-0.0269445489611,0.0269445489611,50,1,-1.38686162147,-31.3428854081,2.90999301812,-3.06802733951e-17,2.11885653541,8.32161657145,0.00867012523994,0.625366692354,-20.0560951078
-15.0789992017,-0.0235013131542,0.0235013131542,44,2,-1.37671978015,-27.6948142456,2.93947387575,-1.93202705411e-16,2.10670170201,8.22108094302,0.00948843456136,0.451667030718,-20.5143414378
-15.4586118516,-0.0221973806092,0.0221973806092,40,3,-1.38523287462,-24.6613307905,1.93371620342,1.21101796737e-16,2.09458688738,8.12208494124,0.00765042858558,0.431298702126,-19.5895348598
-15.2369637929,-0.0250286131798,0.0250286131798,35,4,-1.37896572727,-31.3750298581,3.74801575423,-7.47289448929e-17,2.08946939055,8.08062636989,0.00691571646049,0.333983318249,-21.3088639912
81.656249054,-0.0239733379978,0.0239733379978,33,5,-1.40124602555,-28.0945656948,17.6242236395,-2.78381247996e-17,2.08376151071,8.0346345084,0.00892622795078,0.0254462377827,-16.8245474166
81.3781925111,-0.0188556376325,0.0188556376325,32,6,-1.36812405503,-26.5756709328,17.8072224041,1.43000078677e-18,2.06582534741,7.89180869433,0.00645773089947,-0.0188442705418,-17.119962752
-15.1134187199,-0.024030336203,0.024030336203,35,7,-1.37417485339,-30.4655032417,3.183929914,3.15465216044e-17,2.07552570293,7.96873454519,0.00649790330662,-0.470410428267,-20.6576577887
84.7355643372,-0.0286142856273,0.0286142856273,32,8,-1.36063959254,-28.2476907793,18.5571474461,4.78527586624e-17,2.06864249279,7.91407241205,0.00866682310633,0.00396182266727,-17.6133791463
-18.0563457361,-0.0263707471321,0.0263707471321,31,9,-1.36485737304,-29.3670664107,2.72466844378,-8.98540501263e-17,2.05392861556,7.798478227,0.00687290418049,-6.13376633377,-21.0790898172
